Route_Distance_km,Weight_kg,Transport_Mode,Fuel_Type,Fuel_Consumption_L,CO2_Emissions,Region,Delivery_Time_days,Cost_USD,High_Emission_Flag,Fuel_Efficiency,Cost_Efficiency
441.66,2806.01,1,2,35.82,1084.59,4,3.7,803.66,0,2.4557124834553163,0.0006484777364813416
701.26,3243.33,2,0,298.52,1199.35,2,5.8,785.87,1,1.7102786169141457,0.00034552581788311574
161.51,636.9,1,2,410.11,1227.56,2,5.0,803.66,1,7.600519621043921,0.00781270969312792
196.13,2545.64,1,0,197.69,1283.14,2,5.6,923.88,1,6.542293043272674,0.0018504380530969128
607.78,3145.09,1,3,214.92,708.19,0,6.7,762.6,0,1.1652077862843828,0.00039894894265253897
159.32,1173.98,3,1,273.65,1286.68,3,7.7,758.29,1,8.076072804665278,0.0040541921898768875
249.69,325.59,1,3,507.34,1027.83,1,3.1,462.89,0,4.116424201352709,0.005693844358442308
349.32,1683.02,0,0,254.78,1276.58,0,7.3,648.33,1,3.6544714400987224,0.0011027660558682244
650.28,2098.84,3,0,274.3,631.11,3,3.7,799.47,0,0.970520376291438,0.0005857636827996567
706.51,2151.46,3,3,259.91,1689.52,0,3.8,789.64,1,2.391360314909056,0.0005194904288639084
699.21,2625.7,3,3,401.36,1600.33,0,6.2,1033.57,1,2.2887687205736658,0.0005629724729099967
216.93,2841.56,1,0,347.71500000000003,622.72,0,7.3,1133.78,0,2.8706032881296597,0.0018392990425956238
487.48,3445.76,2,0,182.09,1834.96,0,5.3,744.36,1,3.764174863293369,0.0004431402512040711
557.74,2769.59,1,3,287.76,693.35,0,4.1,758.54,0,1.243141943501597,0.000491056215581667
321.08,1623.1,3,1,347.71500000000003,837.07,4,4.9,793.15,0,2.6070448920192826,0.001521937424566151
457.77,1585.85,1,3,151.73,1622.52,3,7.4,812.18,1,3.54439994878651,0.0011187752662399093
551.94,1406.01,1,2,256.12,1195.2,0,8.9,820.55,0,2.1654527273715853,0.0010573646113573871
75.22,1957.5,1,3,432.13,1109.86,3,5.0,750.02,0,14.75485047130411,0.005093751389786639
521.71,1822.79,3,0,234.21,936.27,2,6.9,736.46,0,1.794617665089462,0.0007744321337990948
683.85,1964.09,1,0,26.62,1709.86,3,8.0,847.41,1,2.5003436060489346,0.0006309157206251916
475.92,2174.83,3,1,197.72,1524.37,2,4.9,1165.2,1,3.2029962345983307,0.00112574805406405
289.26,2999.6,3,0,155.94,988.92,0,3.8,1102.11,0,3.4187926633895924,0.0012702032399720847
381.69,2995.74,3,1,347.71500000000003,1473.79,1,6.3,1376.02,1,3.8612223568544537,0.0012033995536868674
779.87,2148.14,0,1,347.71500000000003,1276.09,2,4.8,721.26,1,1.6362855137870989,0.00043053360058542816
563.96,1939.47,0,3,270.7,1698.02,3,5.8,798.88,1,3.0108872435831042,0.0007303822000571754
666.71,995.89,1,3,407.93,943.27,1,5.9,803.66,0,1.4148130159317691,0.0012103863360659406
495.13,3096.43,1,3,134.7,709.19,4,1.5,855.08,0,1.4323308740667933,0.000557732870729132
797.97,2021.85,1,1,491.46,823.45,2,2.1,647.52,0,1.0319310120439238,0.00040134484625659446
450.92,1982.18,2,3,334.04,1049.96,2,4.3,1093.17,0,2.3284839366520904,0.0012230525476582637
237.63,2380.34,2,3,347.71500000000003,984.49,4,7.4,807.57,0,4.142953156463697,0.0014277097141724357
402.93,2312.56,3,2,64.59,1352.33,1,5.6,803.66,1,3.3562404547628506,0.000862481403517569
455.31,2026.24,1,3,347.71500000000003,1451.74,3,4.6,882.81,1,3.1884649318384195,0.0009569057640270499
367.42,2100.94,0,1,344.14,1118.03,2,5.0,1415.75,0,3.0429208251341566,0.0018340455931472421
502.52,2520.91,1,2,274.49,1797.18,2,5.1,1021.74,1,3.576335199069984,0.0008065470437829313
327.2,2019.12,1,0,243.13,1368.21,2,7.0,728.97,1,4.1815707768468595,0.0011034031771014912
468.01,2311.69,1,2,63.81,1620.31,3,5.5,1014.59,1,3.462126803655332,0.0009377905463808386
561.46,1776.19,1,0,251.14,1449.34,3,4.9,95.42,1,2.581377077950752,9.56822039321845e-05
385.85,1314.58,3,0,347.71500000000003,1220.95,3,5.9,1029.08,1,3.16431247468414,0.0020288204443884308
298.8,2737.44,2,2,253.09,659.48,0,4.4,920.73,0,2.2070949729887896,0.001125659631909219
725.31,2666.67,1,2,388.96,674.05,1,2.7,679.91,0,0.9293267578093952,0.0003515268385811138
665.02,2860.27,3,2,243.71,1044.97,0,5.8,732.56,0,1.5713361767866205,0.00038512478028536847
502.865,3436.17,3,2,313.28,1068.65,2,4.9,644.07,0,2.1251230026921144,0.00037274087434675113
436.72,1151.52,1,2,260.9,1191.63,0,6.5,803.66,0,2.7285903386932056,0.0015980773139902178
602.72,1982.18,1,3,529.45,1607.18,1,4.9,929.32,1,2.6665449517761988,0.0007778692273390022
363.6,1505.89,0,1,129.71,1019.42,0,5.1,991.76,0,2.803685291427797,0.0018112961512635796
515.16,2444.41,1,2,423.79,1450.75,3,6.0,1090.73,1,2.816115326964141,0.0008661658801737363
795.07,496.06,3,2,393.89,981.44,3,4.1,596.17,0,1.2344070178172108,0.0015115779300650762
450.21,2067.06,1,3,439.91,1218.92,0,5.0,792.35,1,2.707447575410418,0.0008514297914632269
564.62,2523.98,1,0,315.43,1075.61,2,7.3,883.86,0,1.905015729074143,0.0006202136396788293
505.66,2267.34,2,0,366.76,1486.09,4,1.5,578.93,1,2.938911463455455,0.0005049528235685058
778.4,2952.44,3,3,513.72,1329.3,2,7.3,422.61,1,1.7077337910106143,0.00018388904674831823
914.82,2246.14,1,0,330.79,974.77,2,6.5,688.4,0,1.0655320055799828,0.00033501819081551055
551.21,1516.82,3,1,286.64,1213.11,2,5.0,526.33,1,2.2008127174613534,0.0006295163156398487
389.28,978.96,2,2,347.71500000000003,711.05,2,5.3,812.17,0,1.8265772239370834,0.0021311788857398552
683.57,1334.54,0,3,390.53,399.3,1,6.5,575.04,0,0.5841391432605418,0.0006303524796363142
662.57,2632.3,3,2,492.93,1153.37,1,6.0,746.83,0,1.7407518942790663,0.0004282078291488603
552.06,1810.39,2,1,556.2,804.14,4,6.1,710.08,0,1.4566170079951999,0.000710475092776373
514.31,2476.02,3,3,463.51,1447.23,2,4.2,484.24,1,2.8139253988076183,0.0003802607880691124
788.02,598.54,1,2,293.68,1406.73,1,5.3,519.68,1,1.7851450244264737,0.001101807143736785
717.75,2466.19,1,1,367.04,111.02,0,2.5,1191.36,0,0.15467781045380968,0.0006730437271659947
305.68,2805.71,2,3,347.71500000000003,1457.76,3,5.3,956.27,1,4.768908506643925,0.0011149893691025712
557.42,271.26,3,3,444.59,1271.77,0,5.0,229.18,1,2.2815291471147585,0.0015156831085946778
628.17,493.48,3,3,513.86,1070.33,4,6.0,1104.13,0,1.703885863637457,0.0035618322548890643
375.46,464.26,3,1,265.65,1412.35,0,4.1,1139.93,1,3.761652272901181,0.006539630947975742
618.51,1821.82,3,0,214.98,1280.3,4,6.6,795.66,1,2.069974582949757,0.000706114832560278
179.82,1962.1,3,0,297.79,442.17,3,2.5,438.6,0,2.4589588222133902,0.0012431098172213317
487.17,1126.27,3,2,501.3,689.03,4,5.0,766.58,0,1.414352250459752,0.001397122322642542
875.23,1837.62,1,0,432.49,1022.02,1,5.7,634.63,0,1.1677159013320395,0.00039458692800159727
912.15,2563.61,1,2,347.71500000000003,785.76,3,6.1,878.68,0,0.8614372541639286,0.0003757617085718289
572.28,2278.14,1,1,365.52,1173.02,3,4.3,556.48,0,2.0497308651406505,0.00042683554882408685
233.75,1587.83,1,0,415.16,1065.79,0,6.1,818.28,0,4.559529216704632,0.002204683814709358
602.89,3019.9,1,3,177.95,680.67,0,4.3,1189.42,0,1.12901190716363,0.0006532878698649263
406.94,2856.29,3,0,473.77,550.81,3,4.6,158.1,0,1.353541029303066,0.0001360188785299282
737.68,1801.18,1,3,514.17,1025.9,4,3.6,824.11,0,1.390711400733226,0.0006202404114074658
560.09,1655.75,0,2,283.37,1164.57,3,5.0,834.11,0,2.0792550825893144,0.0008994369924494546
498.18,1951.2,1,0,244.69,1765.61,3,6.4,587.68,1,3.544120527838923,0.0006045786902063921
203.02,2250.51,1,0,385.2,954.38,0,4.3,711.11,0,4.700915934345584,0.0015563849244805182
502.865,1295.4,1,2,356.78,1652.21,4,2.4,598.42,1,3.2855934836269483,0.0009186515197067221
520.37,671.13,3,1,389.85,1035.03,0,3.8,883.78,0,1.9890270002300863,0.0025306102670734822
369.33,1812.47,1,1,374.08,1467.63,4,4.4,1000.58,1,3.973763193518989,0.0014947425753562148
370.98,1934.78,1,1,312.24,1827.85,1,2.2,1181.78,1,4.927084885247591,0.001646472758647103
461.86,1054.5,3,3,376.06,686.11,3,5.1,577.25,0,1.485536710571673,0.0011852419280264175
691.34,1948.65,1,2,458.27,762.2,4,5.5,903.41,0,1.1024965848569939,0.0006705935414767873
567.52,1940.84,3,3,347.71500000000003,1325.13,3,6.4,1123.5,1,2.3349485069257736,0.0010200046963374895
485.11,2710.12,3,1,455.87,1018.92,3,0.1,938.74,0,2.1003895590610466,0.0007140301910530596
365.68,2118.47,0,3,441.14,463.23,0,5.2,1130.74,0,1.266763255667161,0.0014596180626518548
670.55,2384.73,1,1,530.23,720.99,0,7.9,470.86,0,1.0752218167888776,0.00029445668349031444
601.6,2531.94,1,0,326.47,752.3,1,7.7,1147.76,0,1.2504986494265515,0.0007535114357640093
700.71,2255.72,1,1,347.71500000000003,1519.43,2,5.0,628.99,1,2.1684148625192323,0.0003979424186755927
607.66,901.71,0,3,290.7,1744.4,2,8.4,984.48,1,2.870684216985087,0.0017967156984993878
316.12,2712.31,2,3,235.89,1282.86,1,0.3,1212.3,1,4.0581423491666975,0.0014139003654340327
683.66,2170.06,2,3,429.5,580.97,1,2.9,857.63,0,0.8497937447006738,0.000578080143172185
980.68,1956.88,0,0,64.52,1437.94,2,7.0,712.08,1,1.4662682886745089,0.0003710541344209654
794.23,983.95,1,0,474.81,1869.71,2,1.9,220.89,1,2.354116536090093,0.0002826550426005717
434.42,2394.39,2,3,139.34,1195.2,3,6.1,805.07,0,2.7512544829599355,0.0007739785808766056
543.29,1184.27,2,1,258.51,1577.44,4,4.8,792.21,1,2.903495317353618,0.0012312829933956047
754.31,1850.14,3,1,499.22,1242.6,2,4.6,988.55,1,1.6473333026562913,0.0007083439395047885
502.865,2412.24,2,3,347.71500000000003,1146.49,2,5.0,1222.21,0,2.2799160355181605,0.001007566939244256
557.11,2383.86,3,2,297.69,1139.19,2,4.0,632.66,0,2.044820555279558,0.0004763746871208697
498.79,2396.96,1,0,424.2,1145.43,4,4.5,1197.8,0,2.2964172838986894,0.0010018571088402511
341.5,3399.67,0,3,247.58,1171.91,3,5.0,803.66,0,3.43165436510529,0.0006922211780714327
546.76,1689.84,3,0,482.45,944.32,3,6.1,803.66,0,1.7271197284527084,0.000869821287564757
755.69,2856.49,0,3,15.36,1596.28,3,2.9,886.84,1,2.1123476278322113,0.00041083637634166766
69.42,721.92,0,0,278.36,1195.2,2,4.7,636.53,0,17.216937882895724,0.012701212845664783
595.27,1511.31,3,0,315.42,1324.22,2,5.0,990.52,1,2.2245703256577634,0.0011010212401275084
369.68,1860.52,2,2,302.77,1192.35,4,7.8,511.25,0,3.2253569783229556,0.0007433152151247762
774.73,1510.89,0,2,225.68,403.54,0,3.7,605.14,0,0.5208782347285089,0.0005169786886440308
469.75,1802.89,3,1,378.33,1195.2,4,5.9,269.16,0,2.544332037374518,0.00031781508059162673
809.99,2460.16,3,3,433.51,1104.29,0,4.6,1015.23,0,1.363337802153881,0.0005094733042824013
323.23,1262.51,1,3,138.15,1702.48,1,8.0,540.55,1,5.267085194224386,0.0013246141277238044
573.93,1982.18,1,0,445.77,1505.52,3,4.4,803.66,1,2.6231769967909506,0.00070643195617163
592.42,2577.25,1,1,242.33,710.24,2,2.1,1041.52,0,1.1988791533223195,0.0006821523096037899
393.46,1872.51,2,1,315.84,681.58,4,3.3,957.31,0,1.732272613930956,0.0012993551204983176
546.64,867.02,0,3,280.52,1180.86,2,3.1,1061.72,0,2.1602150929274275,0.00224016225268589
566.89,2014.72,2,3,347.71500000000003,1162.29,0,4.2,433.49,0,2.0502919075959727,0.0003795470232421458
218.5,1975.15,3,0,446.08,1030.16,0,2.3,1097.67,0,4.714690859739549,0.0025434328162998844
338.83,1755.5,0,3,514.94,1101.66,0,6.8,616.42,0,3.25136489533498,0.0010363203623117289
504.25,1655.1,2,0,313.09,1195.2,2,8.1,822.31,0,2.370252803762959,0.0009852930652443142
519.54,2686.76,1,2,346.15,1043.59,0,7.8,852.78,0,2.008680717390755,0.0006109267512304161
468.4,3250.31,1,3,542.64,1670.8,2,7.4,769.67,1,3.5670366445978514,0.0005055485727648852
806.55,2068.55,3,2,550.07,1108.61,2,2.7,677.46,0,1.374508692895559,0.00040605638072463825
519.93,2556.43,1,2,419.47,1019.51,3,5.4,930.04,0,1.960860078070893,0.0006997176761080537
674.49,298.22,1,3,240.84,972.45,4,7.3,566.5,0,1.4417559720417505,0.00281635653436629
482.05,1076.51,2,0,557.36,805.42,3,4.4,351.39,0,1.6708224941225496,0.0006771412054754494
915.08,1356.55,3,3,308.94,1627.2,0,4.8,933.91,1,1.778205164813949,0.0007523330771769426
875.36,579.0,2,0,512.41,462.83,0,6.3,803.66,0,0.528731030333451,0.0015856491236729436
538.88,3036.85,1,1,285.44,1219.64,3,5.0,564.76,1,2.2632867751023094,0.0003451028316958036
422.98,3208.92,1,2,275.71,1144.9,3,3.5,755.2,0,2.7067472999492344,0.0005563950509663643
380.87,2792.13,1,1,343.19,1309.62,4,7.4,872.33,1,3.438495984496128,0.0008202918706011665
607.3,1598.57,3,2,539.11,1454.62,1,7.6,803.66,1,2.3952247259142974,0.0008278228569547514
502.865,1670.07,0,2,458.96,1192.86,4,6.9,827.62,0,2.3721276610595754,0.0009854733702656254
502.94,2656.13,0,3,307.5,1075.84,4,3.6,795.8,0,2.139102037238994,0.0005957148554198772
406.46,2185.16,3,1,463.78,1274.84,4,7.4,413.84,1,3.136446313623818,0.00046594151832461185
495.43,1417.23,1,2,461.08,1150.11,1,8.9,1068.78,0,2.321437895940135,0.001522178839334542
503.92,1077.05,3,1,515.98,984.71,4,3.6,1052.77,0,1.954099818342201,0.0019397065854830447
371.7,2864.04,3,0,303.9,972.88,0,1.5,869.0,0,2.6173795367936634,0.0008162968792880473
524.06,2717.65,3,1,403.0,1336.7,0,4.8,912.15,1,2.5506620892519547,0.000640459579325488
15.15,1349.59,0,0,282.9,209.28,0,9.6,299.26,0,13.813852268084311,0.014636397204981043
370.81,1026.17,1,1,503.34,1199.76,1,5.6,804.46,1,3.2355113606560946,0.002114139804126523
486.78,2450.3,1,0,455.48,590.73,0,2.1,803.66,0,1.2135461355531014,0.0006737834924335999
502.865,1988.93,1,0,347.71500000000003,825.67,0,5.0,1018.56,0,1.641931698528796,0.001018393712132647
500.11,3674.56,0,0,579.52,1128.15,0,8.4,934.07,0,2.2558036780747504,0.0005082864613961739
377.32,2543.16,3,2,375.2,694.81,0,2.0,769.63,0,1.8414342774982966,0.0008020445242096719
263.35,2237.26,2,2,211.76,1395.67,4,1.4,1120.93,1,5.2996770343771775,0.001902517726307002
502.865,1098.0,1,0,273.89,1797.66,3,3.1,506.05,1,3.574836117549718,0.0009165152166081701
788.31,2446.51,1,2,479.98,518.09,4,7.7,768.21,0,0.657216061483223,0.0003983234961463307
307.02,3122.7,1,2,329.26,1318.09,3,5.6,850.21,1,4.293172943353106,0.0008868073380972706
263.84,1523.57,3,2,471.25,283.48,4,2.6,500.71,0,1.0744390132489765,0.0012456132352936795
789.4,970.27,1,1,347.71500000000003,710.25,3,6.0,807.21,0,0.899733963773322,0.001053893698717157
467.97,419.61,3,0,362.92,1486.91,1,4.0,1157.51,1,3.1773617287996725,0.005894689167295037
578.48,3148.07,1,1,347.1,1015.84,1,8.7,752.9,0,1.7560503084626902,0.00041343245651012536
465.01,2036.18,1,1,258.59,1588.2,0,4.1,1015.96,1,3.415410347833158,0.0010729961151764284
1011.64,2671.57,3,2,228.48,807.69,4,6.3,762.58,0,0.7983966549523878,0.000282158319501343
210.4,615.04,1,0,379.02,1528.06,1,6.6,702.18,1,7.262642240368714,0.0054262444949771844
700.21,976.78,1,0,347.71500000000003,590.01,2,6.5,614.61,0,0.8426186309447361,0.0008986168435198554
665.89,2036.39,2,1,342.23,1349.46,1,2.5,658.76,1,2.02655090140187,0.00048580700444671827
502.865,3314.7,3,3,110.4,1174.68,2,6.8,447.77,0,2.3359748175757944,0.00026863299588186594
654.93,2377.6,2,1,274.37,1254.17,0,4.2,600.29,1,1.9149679826093176,0.00038550270718994844
473.14,2599.92,3,2,327.3,925.36,2,3.9,1180.15,0,1.9557847158180517,0.00095937315139724
502.865,2458.5,1,0,349.39,205.02,3,6.1,1004.99,0,0.40770384879234295,0.0008129056058848859
763.52,2473.08,1,0,231.02,1186.85,2,4.5,995.62,0,1.55444518081458,0.0005272723882694288
330.64,2712.16,3,1,324.11,354.12,2,6.7,656.13,0,1.071013759042652,0.0007316766514831385
537.92,1776.01,0,2,406.07,1256.45,1,5.0,794.03,1,2.335756202859976,0.0008311392894494414
808.42,2697.76,3,0,509.65,1469.25,2,6.6,557.99,1,1.8174339845942211,0.0002558503736184494
521.08,738.4,1,0,259.34,1272.12,4,9.1,807.29,1,2.4413141467468686,0.002098135250501424
514.01,1522.42,3,3,480.14,1446.97,4,3.7,711.95,1,2.815061909008348,0.000909794790023609
408.22,4294.72,3,0,444.58,1225.48,2,6.1,934.37,1,3.0020086472488208,0.0005329540329770173
342.8,1191.52,3,3,290.02,1143.89,1,6.5,562.84,0,3.3369018863214155,0.0013779796520514227
626.48,905.35,3,1,514.95,876.26,4,4.5,803.66,0,1.3987038469112527,0.0014169307850835906
458.16,394.03,3,2,486.27,1357.32,0,3.7,1163.41,1,2.9625457708541605,0.006444457050018074
568.72,1848.7,1,0,317.26,764.52,2,3.8,1243.76,0,1.3442818725509587,0.0011829643125493314
917.91,2516.8,1,1,231.57,1077.02,1,5.3,407.56,0,1.173339421366589,0.0001764179401908085
319.59,907.51,1,0,318.42,1708.88,3,7.8,1255.84,1,5.347100805810546,0.004330018089299119
640.06,1114.97,1,1,343.13,1765.51,3,2.7,926.66,1,2.7583507365192212,0.0012984838349850859
387.51,1945.09,1,2,422.44,1332.42,2,5.9,799.26,1,3.4384144037982405,0.0010603896089155535
611.56,601.89,1,2,430.11,1315.96,2,6.7,450.94,1,2.151808454578317,0.001225074670759129
658.21,2351.6,0,3,305.77,1311.01,3,6.0,427.52,1,1.9917807084094634,0.00027620307468060934
502.865,901.28,1,1,449.66,1719.95,3,1.5,888.42,1,3.420301603406449,0.001960230686572644
727.11,3230.35,3,1,613.6,1474.25,0,4.5,1184.57,1,2.0275473858488073,0.0005043256216567578
634.64,3770.02,3,1,367.74,1295.4,1,5.2,770.37,1,2.041157159316193,0.00032197953332257774
332.16,2709.51,2,0,266.21,1227.33,0,5.4,585.71,1,3.6949962760417785,0.0006507955113767815
464.82,488.28,0,0,336.37,1905.93,0,3.7,673.32,1,4.100361342017097,0.0029666599760858866
333.53,1555.56,1,2,279.87,1618.18,2,5.0,902.17,1,4.851677364804446,0.0017388683822086343
565.35,2406.89,2,0,336.42,1627.42,3,3.3,877.54,1,2.8786061222498254,0.0006449013447525412
565.16,2394.92,0,0,291.3,892.63,2,6.3,946.12,0,1.5794288063658293,0.0006990106551915987
554.32,2057.63,1,3,439.69,1267.99,2,5.0,1034.08,1,2.287469290527686,0.0009066221118936042
502.865,1635.1,1,0,420.57,824.17,2,4.6,1109.15,0,1.6389487906505962,0.0013489459722577117
639.39,799.82,0,0,263.41,1511.09,3,3.4,562.6,1,2.363330637586909,0.001100123972608719
163.31,1689.32,3,3,312.0,1642.58,2,6.4,756.99,1,10.058048493169524,0.002743882057792526
455.31,2537.22,3,3,383.74,1958.2,0,10.5,655.17,1,4.300805949774748,0.0005671379225679818
394.85,2978.86,1,2,299.46,1866.67,4,4.8,985.73,1,4.727541984866608,0.0008380612089082542
564.63,385.21,1,2,327.24,779.07,4,4.6,864.87,0,1.379788509647229,0.003976393274731329
319.14,1611.76,3,3,452.38,2005.42,4,3.4,717.1,1,6.283825083542488,0.0013941134217405897
622.07,1510.21,1,0,210.43,893.76,3,4.0,1047.57,0,1.436751467893461,0.001115081096689154
603.53,2259.25,2,2,420.76,1332.35,3,3.1,108.8,1,2.207595277656533,7.979317418510333e-05
500.24,2395.25,1,0,274.75,1653.86,2,5.0,824.52,1,3.3061329900421197,0.0006881322786944062
567.7,1707.6,1,0,359.49,1474.36,4,7.9,470.4,1,2.5970758746331533,0.0004852463448335763
1115.78,2076.28,2,0,372.44,1157.05,4,7.8,980.48,0,1.0369875689025831,0.0004232278577378626
540.11,1879.74,1,3,341.26,1494.71,2,8.0,963.67,1,2.767417696998432,0.0009491794736209542
647.37,2180.61,1,3,473.63,1807.73,2,4.4,1101.86,1,2.7924216013651915,0.0007805412298546937
417.84,2843.19,3,2,476.94,1237.1,1,2.5,670.81,1,2.960702590448435,0.0005646555905362336
514.66,3300.77,0,2,256.09,714.94,3,1.4,490.76,0,1.3891500915332438,0.0002888906450998351
630.04,1920.72,1,3,295.84,1763.45,3,4.8,396.75,1,2.7989492286370834,0.0003278572214650863
204.3,3293.77,3,3,258.07,318.83,1,7.2,835.37,0,1.5605970846501669,0.0012414157140462647
689.91,3101.2,0,2,520.28,262.78,4,1.2,1147.2,0,0.3808902555276738,0.0005361877937373342
593.54,2270.37,1,2,329.45,1947.41,1,4.3,786.41,1,3.2810088068031003,0.0005835826818511907
695.04,2430.1,1,0,381.65,1512.47,3,5.4,680.33,1,2.1760905534056953,0.00040279649004345907
542.82,802.78,2,2,129.17,736.56,1,8.2,1352.01,0,1.356913869111052,0.003102612364704655
170.92,915.64,3,2,143.47,1079.31,3,7.5,868.4,0,6.314708266164974,0.005548839638875074
502.865,3017.88,3,0,238.28,797.87,4,2.5,1108.18,0,1.5866484725194938,0.0007302253940242684
596.2,2315.04,1,0,595.84,1314.55,4,5.0,810.86,1,2.2048808754632527,0.0005874831381298598
391.47,1701.86,3,2,450.87,1708.99,2,3.0,886.0,1,4.365570685734011,0.0013298767860162326
475.81,2058.56,2,2,347.71500000000003,1343.57,0,3.3,604.99,1,2.82375311944362,0.0006176623097853112
295.44,1968.78,3,0,347.71500000000003,1161.08,0,4.7,302.74,0,3.930002574803596,0.0005204791336404574
215.55,2252.92,3,2,566.67,1996.84,4,3.5,738.95,1,9.263929052937645,0.0015216727236114455
277.71,2245.92,1,0,461.36,1072.07,2,5.5,1163.87,0,3.860393797112319,0.0018660302205125202
353.93,2451.68,3,0,302.79,1005.33,1,5.6,1404.59,0,2.840476850211148,0.0016187076223958018
644.33,209.42,1,0,256.47,862.68,1,2.5,970.97,0,1.3388791249999359,0.007195803642331629
810.23,1412.66,3,3,349.72,1122.2,2,5.0,454.13,0,1.385038799044237,0.0003967657950489205
324.4,3002.27,0,3,512.24,1230.83,4,5.6,1315.09,1,3.7941737424730664,0.0013502832589375408
533.73,1457.09,1,2,298.08,1183.92,0,7.6,765.36,0,2.218200172030799,0.0009841420054850323
387.18,1785.89,1,3,347.71500000000003,970.47,4,8.8,712.12,0,2.506508535913308,0.0010298774812610525
629.44,3529.14,3,0,385.27,637.31,1,5.2,905.54,0,1.0125031613417772,0.00040764715310619533
670.49,714.74,0,1,565.6,1487.84,2,4.4,568.84,1,2.2190338078266074,0.001186997310584131
453.08,797.54,3,0,204.78,964.9,3,5.8,684.05,0,2.1296459316313694,0.0018930430106220508
